🕘️更新时间,#genre#
2025-06-06 18:55:38,http://tp88.cn/IPTV/fujian/pttv.php

📺央视频道,#genre#
CCTV1,http://tp88.cn/IPTV/fujian/pttv.php
CCTV1,http://8.138.7.223/tv/ptbtv.php
CCTV1,http://123.145.72.32:8005/udp/225.0.4.74:7980
CCTV1,http://110.231.37.126:9999/udp/239.253.92.83:8012
CCTV1,http://221.14.196.152:4022/udp/225.1.4.73:1102
CCTV1,http://114.246.201.137:7088/rtp/239.3.1.129:8008
CCTV1,http://222.64.121.177:58888/udp/239.45.3.145:5140
CCTV1,http://zqh2333.top:2222/rtp/239.93.24.184:5140
CCTV1,http://8.138.7.223/tv/hot.php?id=1
CCTV1,http://119.125.104.37:9901/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&down=1
CCTV1,http://171.15.18.199:8180/TV00000000000000000001@HHZT
CCTV1,http://123.145.50.55:4000/udp/225.0.4.74:7980
CCTV1,http://111.194.233.250:4022/rtp/239.3.1.129:8008
CCTV1,http://121.25.31.183:8686/udp/239.253.92.83:8012
CCTV1,http://qwt.zhibotv.top:2016/全网通.php
CCTV2,http://117.12.151.143:4022/udp/225.1.1.133:5002
CCTV2,http://110.231.37.126:9999/udp/239.253.92.190:6065
CCTV2,http://221.14.196.152:4022/udp/225.1.4.74:1103
CCTV2,http://123.145.72.32:8005/udp/225.0.4.132:7980
CCTV2,http://119.125.104.37:9901/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2,http://121.25.31.183:8686/udp/239.253.92.190:6065
CCTV2,http://123.145.50.55:4000/udp/225.0.4.132:7980
CCTV2,http://171.15.18.199:8180/TV00000000000000000002@HHZT
CCTV2,http://121.29.169.176:2083/udp/239.253.92.190:6065
CCTV2,http://zqh2333.top:2222/rtp/239.93.24.59:5140
CCTV2,http://111.194.233.250:4022/rtp/239.3.1.60:8084
CCTV3,http://117.12.151.143:4022/udp/225.1.1.158:5002
CCTV3,http://110.231.37.126:9999/udp/239.253.92.191:6057
CCTV3,http://123.145.72.32:8005/udp/225.0.4.142:7980
CCTV3,http://221.14.196.152:4022/udp/225.1.4.158:1194
CCTV3,http://119.125.104.37:9901/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3,http://8.138.7.223/tv/hot.php?id=3
CCTV3,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV3
CCTV3,http://121.25.31.183:8686/udp/239.253.92.191:6057
CCTV3,http://121.29.169.176:2083/udp/239.253.92.191:6057
CCTV3,http://171.15.18.199:8180/TV00000000000000000003@HHZT
CCTV3,http://111.194.233.250:4022/rtp/239.3.1.172:8001
CCTV3,http://123.145.50.55:4000/udp/225.0.4.142:7980
CCTV3,http://119.32.12.17:2901/udp/224.1.100.64:11111
CCTV4,http://117.12.151.143:4022/udp/225.1.1.150:5002
CCTV4,http://110.231.37.126:9999/udp/239.253.93.192:6370
CCTV4,http://123.145.72.32:8005/udp/225.0.4.176:7980
CCTV4,http://221.14.196.152:4022/udp/225.1.5.30:1333
CCTV4,http://222.64.121.177:58888/udp/239.45.0.2:5140
CCTV4,http://8.138.7.223/tv/hot.php?id=4
CCTV4,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV4
CCTV4,http://123.145.50.55:4000/udp/225.0.4.176:7980
CCTV4,http://119.125.104.37:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4,http://171.15.18.199:8180/TV00000000000000000004@HHZT
CCTV4,http://121.25.31.183:8686/udp/239.253.93.192:6370
CCTV4,http://121.29.169.176:2083/udp/239.253.93.192:6370
CCTV4,http://121.29.169.176:2083/udp/239.253.93.193:6371
CCTV5,https://ldcctvwbcdbd.a.bdydns.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV5,http://117.12.151.143:4022/udp/225.1.1.160:5002
CCTV5,http://123.145.72.32:8005/udp/225.0.4.143:7980
CCTV5,http://221.14.196.152:4022/udp/225.1.4.159:1195
CCTV5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8
CCTV5,http://8.138.7.223/tv/hot.php?id=5
CCTV5,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5
CCTV5,https://ldcctvwbcdtxy.liveplay.myqcloud.com/ldcctvwbcd/cdrmldcctv5plus_1/index.m3u8?b=200-2100
CCTV5,http://222.212.84.190:54123/udp/239.93.42.37:5140
CCTV5,http://119.125.104.37:9901/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5,http://121.29.169.176:2083/udp/239.253.92.181:6046
CCTV5,http://171.15.18.199:8180/TV00000000000000000005@HHZT
CCTV5,http://121.25.31.183:8686/udp/239.253.92.181:6046
CCTV5,http://119.32.12.17:2901/udp/224.1.100.82:11111
CCTV5,http://111.194.233.250:4022/rtp/239.3.1.173:8001
CCTV5,http://123.145.50.55:4000/udp/225.0.4.143:7980
CCTV5+,http://117.12.151.143:4022/udp/225.1.1.121:5002
CCTV5+,http://110.231.37.126:9999/udp/239.253.92.82:8013
CCTV5+,http://123.145.72.32:8005/udp/225.0.4.73:7980
CCTV5+,http://221.14.196.152:4022/udp/225.1.4.75:1104
CCTV5+,http://121.25.31.183:8686/udp/239.253.92.82:8013
CCTV5+,http://qwt.zhibotv.top:2016/全网通.php?id=CCTV5p
CCTV5+,http://119.125.104.37:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+,http://123.145.50.55:4000/udp/225.0.4.73:7980
